target_id	length	eff_length	est_counts	tpm
AT1G76820.1	3857	3658	123.163	1.47343
ATMG00060.1	542	343	20	2.5517
AT4G16360.1	1685	1486	691	20.3494
AT5G26800.1	637	438	297	29.674
AT4G16110.1	2666	2467	231	4.09766
AT5G39100.1	808	609	0	0
AT4G15130.1	1234	1035	769	32.5147
ATMG01320.1	922	723	7	0.423695
AT3G57180.1	2232	2033	805	17.3281
AT2G06210.1	3579	3380	1309	16.9479
AT1G60260.1	1634	1435	6455	196.851
AT2G31100.1	1247	1048	0	0
AT1G64460.1	2240	2041	279	5.98211
AT5G18710.1	1919	1720	7	0.1781
AT5G60900.1	2873	2674	2720	44.5144
AT4G15950.1	814	615	91	6.47529
AT3G08943.1	3165	2966	757.583	11.1777
AT3G52310.1	2443	2244	460	8.97074
AT3G18150.1	1370	1171	0	0
AT4G16150.1	3181	2982	2377	34.8831
AT3G55270.1	3130	2931	1157	17.2747
AT1G17000.1	2351	2152	0	0
AT1G60930.1	3876	3677	209	2.4874
AT4G35335.1	1280	1081	642	25.9898
AT5G11100.1	1709	1510	28	0.811473
AT1G18320.1	699	500	18.7506	1.64111
AT1G19090.1	2509	2310	0	0
AT5G16970.1	1441	1242	1168.69	41.1785
AT4G32100.1	369	170	0	0
AT2G43120.2	1338	1139	166	6.3779
AT2G43120.1	1355	1156	9.17132e-06	3.4719e-07
AT1G30814.1	1511	1312	0	0
AT1G30814.4	1466	1267	0	0
AT1G30814.2	1589	1390	0	0
AT1G30814.3	1153	954	0	0
AT3G18710.1	1965	1766	75	1.85851
AT4G25880.4	2907	2708	56.3144	0.910047
AT4G25880.2	3012	2813	0	0
AT4G25880.5	2890	2691	888.274	14.4453
AT4G25880.1	3211	3012	328.411	4.77151
AT4G25880.3	2949	2750	0	0
AT1G78930.1	2266	2067	115	2.43473
AT3G07950.1	1392	1193	598	21.9358
AT4G03450.2	2088	1889	0	0
AT4G03450.1	2249	2050	48	1.02466
AT1G71695.1	1480	1281	3680	125.716
AT1G58983.1	1223	1024	5066.84	216.536
AT1G12980.1	1248	1049	2	0.0834349
AT5G41480.1	1856	1657	353	9.32278
AT5G15008.1	165	15.3999	0	0
AT3G51870.1	1547	1348	575	18.6669
AT4G29950.3	3071	2872	311.847	4.75171
AT4G29950.1	3200	3001	4852.73	70.7641
AT4G29950.2	3102	2903	74.4246	1.12192
AT3G18310.1	2870	2671	297	4.86604
AT5G07360.3	2378	2179	701.112	14.0807
AT5G07360.1	2480	2281	22.3627	0.429035
AT5G07360.2	2311	2112	112.525	2.33157
AT4G08535.1	1518	1319	0	0
AT4G08535.3	1132	933	0	0
AT4G08535.2	1414	1215	3	0.108053
AT4G26490.1	1032	833	25	1.31337
AT5G46240.1	3021	2822	780	12.0957
AT5G62260.3	1854	1655	0.00045045	1.19108e-05
AT5G62260.1	1839	1640	12.9995	0.346879
AT5G62260.2	1922	1723	0	0
AT4G16955.1	902	703	18.7444	1.16684
AT3G25717.1	570	371	114	13.447
AT1G45223.1	580	381	0	0
AT5G35715.1	1522	1323	0	0
AT5G41908.1	471	272	2	0.321776
AT2G21390.1	4284	4085	5274	56.4991
AT3G48330.2	788	589	106.716	7.92876
AT3G48330.3	1038	839	33.5135	1.74804
AT3G48330.4	871	672	54.105	3.5234
AT3G48330.1	1024	825	214.666	11.3868
AT4G32710.1	2794	2595	319	5.37956
AT3G46440.1	1646	1447	587.723	17.7745
AT3G46440.2	1735	1536	139.277	3.9681
AT2G21930.1	1401	1202	0	0
AT2G21930.2	1500	1301	0	0
AT3G53910.1	327	128.001	0	0
AT4G25090.1	3019	2820	0	0
AT4G25090.2	2775	2576	0	0
AT2G18870.1	720	521	0	0
AT1G56250.1	1276	1077	0	0
AT3G16830.1	3909	3710	1237	14.5911
AT5G20470.1	1814	1615	0	0
AT5G04950.1	1399	1200	4	0.145872
AT4G13720.1	924	725	430.798	26.0034
AT4G13720.2	1053	854	66.2016	3.39237
AT5G50110.1	1087	888	213.741	10.5334
AT5G50110.2	1146	947	8.2586	0.381636
AT3G03305.1	2493	2294	477.982	9.11825
AT5G66670.2	1632	1433	0	0
AT5G66670.4	1660	1461	0	0
AT5G66670.3	1973	1774	0	0
AT5G66670.1	1890	1691	0	0
AT4G08039.1	210	28.6775	0	0
AT2G38310.1	1439	1240	595	20.9985
AT2G26900.1	1906	1707	6674	171.098
AT5G23000.1	1399	1200	0	0
AT1G66852.1	333	134.001	0	0
AT1G69810.2	1940	1741	0	0
AT1G69810.1	1593	1394	8	0.251143
AT1G72450.2	1786	1587	3534.62	97.4674
AT1G72450.1	1604	1405	16947.4	527.861
AT5G03560.3	1847	1648	34.0214	0.903417
